
 Program started at 2021-yil 30-August, Monday, Soat 14:37:07
 Program started at 2021-yil 30-August, Monday, Soat 14:37:45
 Program started at 2021-yil 30-August, Monday, Soat 15:19:31
 Program started at 2021-yil 30-August, Monday, Soat 15:20:34
 Program started at 2021-yil 30-August, Monday, 16:18:20
ART 42    --    2021-yil 30-August, Monday, 16:18:25
ART 42    --    2021-yil 30-August, Monday, 16:18:27
ART 42    --    2021-yil 30-August, Monday, 16:18:29
ART 42    --    2021-yil 30-August, Monday, 16:18:31
ART 42    --    2021-yil 30-August, Monday, 16:18:33
ART 42    --    2021-yil 30-August, Monday, 16:18:35
 Program started at 2021-yil 30-August, Monday, 16:20:53
ART 42    --    2021-yil 30-August, Monday, 16:21:03
ART 42    --    2021-yil 30-August, Monday, 16:21:05
 Program started at 2021-yil 30-August, Monday, 16:22:26
 Program started at 2021-yil 08-September, Wednesday, 20:47:40
 Program started at 2021-yil 08-September, Wednesday, 20:48:33
